"Sprache","Formulierung","Wahl"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","sicher"
"Englisch","Gewinn","unsicher"
"Englisch","Gewinn","unsicher"
"Englisch","Gewinn","unsicher"
"Englisch","Gewinn","unsicher"
"Englisch","Gewinn","unsicher"
"Englisch","Gewinn","unsicher"
"Englisch","Gewinn","unsicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","sicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Englisch","Verlust","unsicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","sicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Gewinn","unsicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","sicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
"Japanisch","Verlust","unsicher"
