Text,Subject,Text_Language,Text_Type,Time,TTR,Guiraud,nTokens,nTypes,nLemmas,meanWordLength,MSTTR10,MSTTR30,MSTTR50,HDD42,HDD31,HDD20,MTLD83,MTLD72,MTLD61,MTLD50,MTLD83MA,MTLD72MA,MTLD61MA,MTLD50MA,MATTR100,MATTR65,MATTR30,MATTR10,lexWordNumber,lexWordRatio,ornWordNumber,conjunctionNumber,conjunctionRatio,fullStops,nAdvTokens,nAdjTokens,nVerbTokens,nNounTokens,nAdvTypes,nAdjTypes,nVerbTypes,nNounTypes,nAdvLemmas,nAdjLemmas,nVerbLemmas,nNounLemmas,nConjunctionLemmas,YulesKLemma,YulesK,LemmaFreq100,LemmaFreq200,LemmaFreq300,LemmaFreq400,LemmaFreq500,LemmaFreq600,LemmaFreq700,LemmaFreq800,LemmaFreq900,LemmaFreq1000,LemmaFreq2000,LemmaFreq5000,LemmaFreqInf,LemmanotInSUBTLEX,LemmameanSUBTLEX,LemmameanSUBTLEXUnique,LemmameanZipf,LemmameanZipfUnique,LemmamedianSUBTLEX,LemmamedianSUBTLEXUnique,LemmaQ25SUBTLEX,LemmaQ25SUBTLEXUnique,LemmaQ75SUBTLEX,LemmaQ75SUBTLEXUnique,LemmameanFreqRank,LemmameanFreqRankUnique,LemmamedianFreqRank,LemmamedianFreqRankUnique,LemmaQ25Rank,LemmaQ25RankUnique,LemmaQ75Rank,LemmaQ75RankUnique,LemmaSUBTLEXrarestWord,LemmaUniqueTypesInTop500,LemmaUniqueTypesInTop1000,LemmaUniqueTypesInTop2000,LemmawordsNotInSUBTLEX,Freq100,Freq200,Freq300,Freq400,Freq500,Freq600,Freq700,Freq800,Freq900,Freq1000,Freq2000,Freq5000,FreqInf,notInSUBTLEX,meanSUBTLEX,meanSUBTLEXUnique,meanZipf,meanZipfUnique,medianSUBTLEX,medianSUBTLEXUnique,Q25SUBTLEX,Q25SUBTLEXUnique,Q75SUBTLEX,Q75SUBTLEXUnique,meanFreqRank,meanFreqRankUnique,medianFreqRank,medianFreqRankUnique,Q25Rank,Q25RankUnique,Q75Rank,Q75RankUnique,SUBTLEXrarestWord,UniqueTypesInTop500,UniqueTypesInTop1000,UniqueTypesInTop2000,wordsNotInSUBTLEX,evenness_type,evenness_lemma,dispersion_type_10,dispersion_type_20,dispersion_type_30,dispersion_lemma_10,dispersion_lemma_20,dispersion_lemma_30,disparity_type,disparity_lemma,Subject1,Subject2,Subject3
A_PLF_1_arg_F_C_1,A_PLF_1,French,arg,1,0.85714,3.20713,14,12,12,4.35714285714286,1,NA,NA,12,12,12,15.2146118721461,27.44,38.22,49,NA,NA,NA,NA,NA,NA,NA,0.9,8,0.571428571428571,3,2,0.142857142857143,1,2,1,4,1,2,1,3,1,2,1,3,1,2,204.081632653061,204.081632653061,0.571428571428571,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,10751.9435714286,8513.11916666667,6.26519450465674,6.10051486559035,6020.915,2316.065,257.4975,166.6675,12031.555,10276.505,427.642857142857,496.916666666667,33.5,115.5,13.5,16.5,391.75,489,13.78,3,2,1,NA,0.428571428571429,0.0714285714285714,0.0714285714285714,0,0,0,0.142857142857143,0.0714285714285714,0.0714285714285714,0,0,0.142857142857143,0,0,7109.20857142857,6382.58666666667,5.90802375733596,5.85805666117239,520.16,520.16,107.8125,101.74,12031.555,10276.505,749.035714285714,815.708333333333,198.5,198.5,12.5,15.5,730.25,766.75,12.04,5,2,2,NA,0.389249472080761,0.389249472080761,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.130152717652718,0.166467707376798,A,PLF,1
A_PLF_1_arg_F_C_2,A_PLF_1,French,arg,2,0.75,5.19615,48,36,36,3.58333333333333,1,0.833333333333333,NA,32.7408649398705,25.9008441258094,17.8761948812828,24,53.76,74.88,96,22.7647058823529,NA,NA,NA,NA,NA,0.817543859649123,0.969230769230769,20,0.416666666666667,2,6,0.125,6,2,0,13,5,2,0,11,4,2,0,11,4,4,138.888888888889,112.847222222222,0.625,0.104166666666667,0.0833333333333333,0.0208333333333333,0.0416666666666667,0.0416666666666667,0,0,0,0,0.0416666666666667,0.0208333333333333,0.0208333333333333,0,7981.69854166667,6107.06970588235,6.3360755381614,6.18747897730988,4053.5,2322.25,492.86,478.295,12987.645,8475.8525,304.416666666667,387.235294117647,44.5,66,11.75,21.25,204,211.5,5.61,5,4,2,NA,0.479166666666667,0.125,0.0416666666666667,0,0.0208333333333333,0,0.0416666666666667,0.0833333333333333,0,0.0416666666666667,0.0833333333333333,0.0416666666666667,0.0416666666666667,0,4663.44375,4358.03333333333,5.9394544909651,5.88654962203612,1106.54,918.705,110.475,110.475,8685.4325,6318.3425,677.135416666667,783.791666666667,111.5,128.5,19.5,25.75,715,715,5.61,11,7,4,NA,0.534522483824849,0.60890597666105,0.104166666666667,0.208333333333333,0.270833333333333,0.0833333333333333,0.166666666666667,0.229166666666667,0.10412091435901,0.146538211244094,A,PLF,1
A_PLF_1_narr_F_C_2,A_PLF_1,French,narr,2,0.59677,4.699,62,37,37,3.69354838709677,0.916666666666667,0.766666666666667,0.62,29.0405192271614,23.418310641845,16.6258934860474,20.6666666666667,29.1414868105516,42.2861685214626,76.88,26.1428571428571,31.4615384615385,38,NA,NA,NA,0.784848484848485,0.947169811320755,36,0.580645161290323,10,2,0.032258064516129,9,8,2,15,11,6,2,9,7,6,2,8,7,1,244.536940686785,202.913631633715,0.596774193548387,0.0967741935483871,0.0483870967741935,0.0161290322580645,0.0483870967741935,0.032258064516129,0.032258064516129,0.0483870967741935,0.0161290322580645,0.032258064516129,0.032258064516129,0,0,0,9082.40290322581,7592.97882352941,6.32717674249737,6.16355189915447,4394.7,1274.255,260.4475,191.3775,12909.08,11492.545,244.225806451613,281.764705882353,38,109,12,15,343.75,431.75,31.16,7,1,0,NA,0.483870967741935,0.129032258064516,0.0161290322580645,0.0645161290322581,0.0161290322580645,0.0161290322580645,0.0483870967741935,0.0483870967741935,0.0483870967741935,0,0.0967741935483871,0.0161290322580645,0.0161290322580645,0,5540.58919354839,5385.72081081081,6.00678027900674,5.8910989986431,899.25,655.09,120.72,114.63,8589.96,9398.98,672.798387096774,900.72972972973,129,166,20,17,665,695,1.43,12,5,2,NA,1.00150037593752,1.14072247800944,0.17741935483871,0.274193548387097,0.451612903225806,0.161290322580645,0.274193548387097,0.435483870967742,0.13402271318938,0.169502447443624,A,PLF,1
A_PLF_1_arg_F_C_3,A_PLF_1,French,arg,3,0.84848,4.87417,33,28,28,3.6969696969697,1,0.833333333333333,NA,28,26.5965909090909,18.2007575757576,34.8972667295005,60.984,84.942,108.9,28,NA,NA,NA,NA,NA,0.841666666666667,0.975,19,0.575757575757576,6,2,0.0606060606060606,2,6,0,8,5,5,0,6,4,5,0,5,4,2,146.92378328742,91.8273645546373,0.6875,0.125,0.03125,0.03125,0.03125,0.03125,0,0,0,0,0.0625,0,0,0.0303030303030303,10010.4421212121,8486.84576923077,6.40415391870939,6.23687744314444,8589.96,4231.665,771.24,505.915,16953.5,13144.775,1440.68181818182,1820.63461538462,21,41.5,7,11.25,151,200.5,0,4,3,1,wc,0.53125,0.125,0.03125,0,0.03125,0,0.03125,0.03125,0.03125,0.0625,0.09375,0,0.03125,0.0303030303030303,6431.90333333333,5971.13,5.98634560581407,5.8676058831925,3382.89,2108.43,105.54,88.3425,11930.61,10031.8875,3910.60606060606,4597.67857142857,49,93.5,14,16.25,742,859,0,10,5,2,wc,0.39002102778748,0.533493565673837,0.0303030303030303,0.121212121212121,0.121212121212121,0.0606060606060606,0.181818181818182,0.181818181818182,0.0977960825183047,0.133736596736597,A,PLF,1
A_PLF_1_narr_F_C_3,A_PLF_1,French,narr,3,0.87097,4.84934,31,27,27,4.09677419354839,0.966666666666667,0.866666666666667,NA,27,27,18.3655913978495,40.8425,67.27,93.6975,120.125,NA,NA,NA,NA,NA,NA,0.883333333333333,0.972727272727273,16,0.516129032258065,1,0,0,6,0,1,10,5,0,1,10,5,0,1,7,5,0,208.116545265349,83.2466181061394,0.709677419354839,0.032258064516129,0,0,0.0645161290322581,0,0,0,0.032258064516129,0.032258064516129,0.032258064516129,0.0645161290322581,0.032258064516129,0,12357.8380645161,8983.96695652174,6.43270091897949,6.14598450406914,8133.53,3849.01,524.22,136.405,21087.23,12706.87,490.161290322581,657.304347826087,22,47,5.5,12.5,275.5,645.5,4.84,6,4,3,NA,0.451612903225806,0.0967741935483871,0,0.032258064516129,0.0645161290322581,0,0.032258064516129,0.032258064516129,0,0.032258064516129,0.0967741935483871,0.0645161290322581,0.0967741935483871,0,5606.49322580645,5368.40333333333,5.80175341191038,5.7401372712691,568.45,568.45,70.85,70.85,9784.14,6716.795,1239.11290322581,1374.81481481481,182.5,182.5,18,24.5,1044.5,1044.5,3.81,10,7,5,NA,0.362013992898246,0.647280721183483,0.032258064516129,0.0967741935483871,0.129032258064516,0.032258064516129,0.129032258064516,0.129032258064516,0.141109302220413,0.178925049478409,A,PLF,1
A_PLF_10_narr_F_C_1,A_PLF_10,French,narr,1,0.58333,3.5,36,21,21,3.44444444444444,1,0.6,NA,21,19.2773109243698,14.624649859944,21.8048162230672,30.9720670391061,36,43.2,14.2307692307692,16.4,17.5,NA,NA,NA,0.6,0.966666666666667,18,0.5,2,1,0.0277777777777778,3,1,1,9,7,1,1,5,4,1,1,4,4,1,401.234567901235,324.074074074074,0.694444444444444,0.0277777777777778,0,0.0277777777777778,0.0833333333333333,0,0,0,0,0,0.111111111111111,0.0555555555555556,0,0,13293.9233333333,9345.06947368421,6.49384576084865,6.17559950749123,10409.54,4658.59,219.5475,133.75,25988.48,13066.21,325.763888888889,506.763157894737,17.5,35,3,11.5,386.75,752.5,24.28,5,5,2,NA,0.416666666666667,0.0833333333333333,0,0.0555555555555556,0.0833333333333333,0,0,0.0833333333333333,0.0277777777777778,0,0.138888888888889,0.0833333333333333,0.0277777777777778,0,2910.89444444444,2962.94428571429,5.73824173985816,5.6561867688028,684.45,241.17,82.41,67.47,4658.59,4658.59,821.722222222222,1113.38095238095,242,375,31,31,923.75,1091,3.89,8,6,4,NA,0.902377811277357,1.04853002087607,0.25,0.416666666666667,0.583333333333333,0.166666666666667,0.277777777777778,0.388888888888889,0.10884731670446,0.160440452984313,A,PLF,10
A_PLF_10_arg_F_C_2,A_PLF_10,French,arg,2,0.875,5.53399,40,35,35,3.65,0.975,0.9,NA,35,28.0192307692308,18.7820512820513,34.1324102120294,89.6,124.8,160,NA,NA,NA,NA,NA,NA,0.918181818181818,0.967741935483871,20,0.5,7,5,0.125,1,5,2,6,7,5,2,4,6,5,2,3,6,5,125,62.5,0.65,0.05,0.125,0.025,0,0.025,0,0,0.075,0,0,0.05,0,0,9745.002,6702.9390625,6.38976746706978,6.2292978437222,4231.665,3193.255,474.175,426.22,13920.185,8792.215,271.35,311.875,41.5,53.5,10.75,20.25,211.25,228,12.65,5,2,2,NA,0.55,0.05,0.075,0,0,0,0.05,0.025,0,0,0.175,0.075,0,0,5205.18625,5243.41342857143,5.97451021504739,6.02647712394854,1644.99,1960.69,96.8275,110.085,7477.17,7848.1,540.3625,517.385714285714,84,72,23.75,22.5,817,718.5,12.65,10,8,3,NA,0.355035801248363,0.567961834247065,0.025,0.075,0.1,0.025,0.075,0.075,0.1237575030012,0.144005216333845,A,PLF,10
A_PLF_10_narr_F_C_2,A_PLF_10,French,narr,2,0.54545,4.0452,55,30,28,3.67272727272727,0.88,0.766666666666667,0.6,25.842233657328,21.4238172728739,15.7061910835496,11,22.9470198675497,24.1364970645793,42.7058823529412,19.4074074074074,25.4210526315789,35.448275862069,NA,NA,NA,0.688461538461538,0.867391304347826,30,0.545454545454545,9,5,0.0909090909090909,2,7,2,12,9,2,2,8,5,2,1,7,4,2,442.97520661157,257.851239669421,0.745454545454545,0.0545454545454545,0.0363636363636364,0,0.0363636363636364,0.0909090909090909,0,0,0,0.0363636363636364,0,0,0,0,11345.8005454545,9606.19227272727,6.58191876620774,6.42828894042573,8813.48,4029.78,1164.44,462.355,16953.5,12853.1975,132,160.863636363636,20,44.5,7,12.25,120.5,216.25,72.48,3,0,0,NA,0.581818181818182,0.0181818181818182,0.0363636363636364,0,0.0545454545454545,0,0,0.0363636363636364,0,0.0545454545454545,0.145454545454545,0.0727272727272727,0,0,5152.29472727273,5082.527,6.00361319745189,5.95894831257937,1644.99,1617.455,82.09,89.5975,9047.33,7944.6175,554.727272727273,554.683333333333,84,85,18.5,21.5,918.5,865.375,10.74,9,7,2,NA,1.05318346089314,1.56600796689575,0.309090909090909,0.6,0.672727272727273,0.345454545454545,0.781818181818182,0.872727272727273,0.123812260536398,0.161932247646533,A,PLF,10
A_PLF_10_arg_F_C_3,A_PLF_10,French,arg,3,0.80769,4.11844,26,21,21,3.65384615384615,0.9,NA,NA,21,21,17.0769230769231,26,37.856,52.728,67.6,14.7777777777778,NA,NA,NA,NA,NA,NA,0.905882352941176,14,0.538461538461538,5,3,0.115384615384615,3,4,1,8,1,2,1,7,1,2,1,6,1,2,207.100591715976,147.92899408284,0.653846153846154,0.0384615384615385,0.153846153846154,0,0.0384615384615385,0.0769230769230769,0,0,0,0,0.0384615384615385,0,0,0,7439.71923076923,7771.7255,6.40449672328813,6.37059945611001,5594.86,5594.86,492.86,492.5625,10010.55,9551.8725,157.730769230769,180.2,34.5,34.5,16,17.5,204,204.25,60.33,3,1,0,NA,0.615384615384615,0.0769230769230769,0.0769230769230769,0,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0384615384615385,0,0.0384615384615385,0,0,0,5919.67653846154,5907.96047619048,6.26065435214228,6.18504201651541,3382.89,2177.25,491.67,182.88,8971.85,8971.85,226.769230769231,265.333333333333,49,68,18,18,208,464,48.3,5,1,0,NA,0.436435780471985,0.571240570577479,0.153846153846154,0.192307692307692,0.192307692307692,0.192307692307692,0.230769230769231,0.269230769230769,0.11307067271353,0.155616123642439,A,PLF,10
A_PLF_10_narr_F_C_3,A_PLF_10,French,narr,3,0.76471,3.15296,17,13,13,2.94117647058824,0.7,NA,NA,13,13,13,13.6535433070866,18.4748858447489,28.1775,36.125,10,NA,NA,NA,NA,NA,NA,0.8375,10,0.588235294117647,1,1,0.0588235294117647,3,1,0,7,2,1,0,5,2,1,0,4,2,1,484.429065743945,415.22491349481,0.764705882352941,0.0588235294117647,0.117647058823529,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,13983.5064705882,9654.89666666667,6.6869286935129,6.43260902876752,8589.96,4767.585,3737.75,518.6825,32134.75,9490.07,181.235294117647,252.833333333333,21,36,2,19.25,48,202.5,24.18,1,1,1,NA,0.647058823529412,0.0588235294117647,0,0,0.0588235294117647,0,0.117647058823529,0,0,0,0.0588235294117647,0.0588235294117647,0,0,5374.61764705882,3871.33538461538,6.24525594548481,6.01171021591995,4337.68,2707.56,198.03,117.6,8589.96,5180.5,333.411764705882,430.769230769231,36,57,20,28,432,680,24.18,4,2,1,NA,0.751067616198811,0.792961461098759,0.352941176470588,0.352941176470588,0.352941176470588,0.176470588235294,0.176470588235294,0.176470588235294,0.0932081807081807,0.120093795093795,A,PLF,10
