Batch,Rater,Trial,Text,Rating,Subject,Text_Language,Text_Type,Time,Rater_Sex,Rater_Age,Rater_NativeLanguage,Rater_NativeLanguage2,Rater_NativeLanguageOther,Rater_Country,Rater_Education,Rater_Profession,Rater_OtherProfession,Rater_TeacherLevel,Rater_StudentField
French_A,5878aa63dafe3,2,R_CF_6_arg_F_C_2,4,R_CF_6,French,arg,2,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,3,AD_PLF_19_arg_F_C_2,4,AD_PLF_19,French,arg,2,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,4,R_CF_2_arg_F_C_2,3,R_CF_2,French,arg,2,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,5,W_CF_16_arg_F_C_3,8,W_CF_16,French,arg,3,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,6,R_CF_9_arg_F_C_1,4,R_CF_9,French,arg,1,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,7,Y_PNF_9_narr_F_C_3,6,Y_PNF_9,French,narr,3,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,8,Y_PNF_26_arg_F_C_2,5,Y_PNF_26,French,arg,2,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,9,Z_PLF_1_narr_F_C_1,4,Z_PLF_1,French,narr,1,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,10,AD_PLF_20_arg_F_C_3,4,AD_PLF_20,French,arg,3,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,11,A_PLF_16_narr_F_C_2,5,A_PLF_16,French,narr,2,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,12,Y_PNF_1_narr_F_C_1,5,Y_PNF_1,French,narr,1,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,13,Y_PNF_2_arg_F_C_1,3,Y_PNF_2,French,arg,1,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
French_A,5878aa63dafe3,14,Z_PLF_4_arg_F_C_3,2,Z_PLF_4,French,arg,3,female,26,mono-French,NA,NA,FR,PhD,Other,en thèse,NA,NA
