ID,Test,Grade,Group,total_p,cog_p,total_r,cog_r,cogtsz,cogpf,cogdth,cogck,cogkch,noncog,total,cog
A01,Test_1,A,control,9,8,10,8,4,3,4,4,1,3,19,16
A02,Test_1,A,control,7,6,5,4,1,1,3,4,1,2,12,10
A03,Test_1,A,control,4,4,1,1,1,1,1,1,1,0,5,5
A04,Test_1,A,control,7,4,9,7,3,4,1,2,1,5,16,11
A05,Test_1,A,control,7,6,6,5,3,2,2,3,1,2,13,11
A06,Test_1,A,control,5,5,8,8,3,3,3,3,1,0,13,13
A07,Test_1,A,control,7,7,8,7,3,2,4,4,1,1,15,14
A08,Test_1,A,control,3,2,4,3,1,2,1,1,0,2,7,5
A09,Test_1,A,control,8,7,8,7,2,4,4,3,1,2,16,14
B01,Test_1,B,control,6,5,8,6,1,3,4,2,1,3,14,11
B02,Test_1,B,control,10,9,11,9,3,3,6,4,2,3,21,18
B03,Test_1,B,control,2,1,4,4,0,1,1,2,1,1,6,5
B04,Test_1,B,control,7,7,8,7,3,3,3,3,2,1,15,14
B05,Test_1,B,control,2,2,3,3,1,2,0,1,1,0,5,5
B06,Test_1,B,control,10,9,10,9,4,4,4,4,2,2,20,18
B07,Test_1,B,control,10,8,10,8,3,3,5,3,2,4,20,16
B08,Test_1,B,control,11,8,11,9,4,3,6,2,2,5,22,17
B09,Test_1,B,control,1,1,2,2,0,1,0,1,1,0,3,3
B10,Test_1,B,control,6,5,7,6,2,2,2,3,2,2,13,11
B11,Test_1,B,control,3,3,8,7,3,2,2,2,1,1,11,10
B12,Test_1,B,control,8,8,10,8,4,4,3,4,1,2,18,16
C01,Test_1,C,control,9,6,8,7,2,3,3,4,1,4,17,13
C02,Test_1,C,control,12,9,8,6,2,3,4,4,2,5,20,15
C03,Test_1,C,control,8,8,8,7,2,4,3,4,2,1,16,15
C04,Test_1,C,control,9,8,8,5,3,1,5,3,1,4,17,13
C05,Test_1,C,control,4,4,5,4,1,3,1,2,1,1,9,8
C06,Test_1,C,control,13,11,9,7,6,3,4,5,0,4,22,18
C07,Test_1,C,control,11,9,8,6,3,3,4,3,2,4,19,15
C08,Test_1,C,control,11,10,12,10,5,3,6,5,1,3,23,20
C09,Test_1,C,control,8,8,4,2,1,2,3,3,1,2,12,10
C10,Test_1,C,control,12,9,13,10,2,4,7,4,2,6,25,19
C11,Test_1,C,control,12,10,8,5,2,3,4,5,1,5,20,15
C12,Test_1,C,control,11,9,10,8,2,4,5,5,1,4,21,17
C13,Test_1,C,control,9,9,11,10,5,4,4,5,1,1,20,19
C14,Test_1,C,control,14,11,13,11,4,4,7,5,2,5,27,22
C15,Test_1,C,control,5,5,3,2,1,3,1,2,0,1,8,7
C16,Test_1,C,control,8,7,5,3,1,2,3,3,1,3,13,10
C17,Test_1,C,control,7,6,12,9,3,4,5,2,1,4,19,15
C18,Test_1,C,control,9,6,7,5,2,2,3,4,0,5,16,11
C19,Test_1,C,control,8,6,5,4,1,2,4,3,0,3,13,10
C20,Test_1,C,control,11,9,10,8,3,3,5,4,2,4,21,17
C21,Test_1,C,control,4,3,5,4,1,3,2,1,0,2,9,7
D01,Test_1,D,control,7,6,8,6,1,3,4,3,1,3,15,12
D02,Test_1,D,control,7,7,5,3,1,3,2,2,2,2,12,10
D03,Test_1,D,control,8,5,6,5,1,3,5,0,1,4,14,10
D04,Test_1,D,control,5,5,2,1,0,1,3,2,0,1,7,6
D05,Test_1,D,control,12,9,12,9,5,4,4,3,2,6,24,18
D06,Test_1,D,control,13,10,15,12,6,4,7,4,1,6,28,22
D07,Test_1,D,control,7,5,8,7,4,3,3,1,1,3,15,12
D08,Test_1,D,control,13,11,8,6,4,3,4,4,2,4,21,17
D09,Test_1,D,control,9,7,11,8,3,2,5,4,1,5,20,15
D10,Test_1,D,control,7,7,9,7,4,3,2,3,2,2,16,14
D11,Test_1,D,control,4,4,5,4,1,2,1,3,1,1,9,8
D12,Test_1,D,control,6,6,2,1,1,2,3,0,1,1,8,7
D13,Test_1,D,control,7,6,2,2,1,3,2,1,1,1,9,8
D14,Test_1,D,control,14,11,15,12,5,4,7,5,2,6,29,23
D15,Test_1,D,control,6,5,10,9,3,3,4,3,1,2,16,14
D16,Test_1,D,control,7,7,6,6,3,4,2,2,2,0,13,13
D17,Test_1,D,control,15,12,10,8,5,4,6,4,1,5,25,20
D18,Test_1,D,control,15,12,15,12,6,4,7,5,2,6,30,24
D19,Test_1,D,control,15,12,15,12,6,4,7,5,2,6,30,24
D20,Test_1,D,control,12,10,11,8,5,4,3,5,1,5,23,18
D21,Test_1,D,control,3,3,3,3,1,1,3,0,1,0,6,6
D22,Test_1,D,control,10,8,8,5,2,3,3,4,1,5,18,13
D23,Test_1,D,control,4,3,5,5,1,3,2,2,0,1,9,8
D24,Test_1,D,control,10,9,11,8,4,4,4,3,2,4,21,17
E01,Test_1,E,control,14,12,9,6,5,3,4,4,2,5,23,18
E02,Test_1,E,control,6,3,8,6,2,1,3,2,1,5,14,9
E03,Test_1,E,control,4,4,2,2,1,1,3,1,0,0,6,6
E04,Test_1,E,control,5,4,10,8,3,3,3,2,1,3,15,12
E05,Test_1,E,control,6,5,7,7,1,2,6,2,1,1,13,12
E06,Test_1,E,control,6,5,7,6,2,2,4,2,1,2,13,11
E07,Test_1,E,control,7,7,10,9,3,4,5,3,1,1,17,16
E08,Test_1,E,control,10,8,14,12,5,3,6,4,2,4,24,20
E09,Test_1,E,control,2,2,5,4,2,1,1,1,1,1,7,6
E10,Test_1,E,control,7,5,7,6,1,3,4,2,1,3,14,11
E11,Test_1,E,control,2,2,6,5,0,1,3,2,1,1,8,7
E12,Test_1,E,control,7,6,7,6,2,2,4,3,1,2,14,12
E13,Test_1,E,control,8,8,9,8,2,4,6,2,2,1,17,16
E14,Test_1,E,control,8,7,8,7,2,2,4,5,1,2,16,14
E15,Test_1,E,control,6,5,6,5,1,1,4,3,1,2,12,10
E16,Test_1,E,control,11,9,10,8,2,3,6,5,1,4,21,17
E17,Test_1,E,control,8,6,13,10,3,3,5,4,1,5,21,16
F01,Test_1,F,control,7,6,12,9,2,4,5,3,1,4,19,15
F02,Test_1,F,control,4,4,7,5,1,3,2,2,1,2,11,9
F03,Test_1,F,control,3,2,3,3,0,2,2,1,0,1,6,5
F04,Test_1,F,control,1,1,5,4,0,2,0,2,1,1,6,5
F05,Test_1,F,control,8,7,8,7,3,2,3,5,1,2,16,14
F06,Test_1,F,control,3,3,5,5,0,2,4,1,1,0,8,8
F07,Test_1,F,control,7,6,9,7,3,2,2,5,1,3,16,13
F08,Test_1,F,control,6,6,10,9,3,3,4,4,1,1,16,15
G01,Test_1,G,control,11,9,9,7,2,4,3,5,2,4,20,16
