item_d,item_e,length,changes,nLD,mode,test,POS,type,shift,n.shift,frequency_e,frequency_d,mean_total,mean_control,mean_intervention,mean%_total,mean%_control,mean%_intervention
Kontakt,contact,7,2,0.71,productive,T2MoonStar,noun,C,c-k,1,2,10,0.688172,0.697368,0.677165,68.8,69.7,67.7
Konflikt,conflict,8,2,0.75,productive,T1Red,noun,C,c-k,1,3,11,0.598566,0.598684,0.598425,59.9,59.9,59.8
Orakel,oracle,6,3,0.50,productive,T1Red,noun,C,c-k,1,6,13,0.630824,0.611842,0.653543,63.1,61.2,65.4
Kultur,culture,7,2,0.71,productive,T3Dog,noun,C,c-k,1,2,10,0.569892,0.506579,0.645669,57,50.7,64.6
Kanone,cannon,6,3,0.50,productive,T2MoonStar,noun,C,c-k,1,5,14,0.81362,0.776316,0.858268,81.4,77.6,85.8
Kohle,coal,5,3,0.40,productive,T1Red,noun,C,c-k,1,2,14,0.341727,0.335526,0.349206,34.2,33.6,34.9
Vehikel,vehicle,7,3,0.57,productive,T3Dog,noun,C,c-k,1,2,15,0.340502,0.322368,0.362205,34.1,32.2,36.2
Kanu,canoe,5,3,0.40,productive,T3Dog,noun,C,c-k,1,2,15,0.476703,0.414474,0.551181,47.7,41.4,55.1
Kaktus,cactus,6,2,0.67,receptive,T3Dog,noun,C,c-k,1,8,16,0.88172,0.848684,0.92126,88.2,84.9,92.1
Kabel,cable,5,3,0.40,receptive,T2MoonStar,noun,C,c-k,1,2,13,0.727599,0.690789,0.771654,72.8,69.1,77.2
Kandidat,candidate,9,2,0.78,receptive,T2MoonStar,noun,C,c-k,1,3,10,0.752688,0.703947,0.811024,75.3,70.4,81.1
Tabak,tobacco,7,4,0.43,receptive,T1Red,noun,C,c-k,1,4,14,0.774194,0.809211,0.732283,77.4,80.9,73.2
Klon,clone,5,2,0.60,receptive,T1Red,noun,C,c-k,1,4,16,0.637993,0.644737,0.629921,63.8,64.5,63
Klaue,claw,5,3,0.40,receptive,T2MoonStar,noun,C,c-k,1,5,16,0.451613,0.453947,0.448819,45.2,45.4,44.9
Krise,crisis,6,3,0.50,receptive,T3Dog,noun,C,c-k,1,3,11,0.394265,0.368421,0.425197,39.4,36.8,42.5
Garten,garden,6,1,0.83,productive,T1Red,noun,C,th-d-t,0,1,11,0.763441,0.796053,0.724409,76.3,79.6,72.4
Traum,dream,5,3,0.40,productive,T1Red,noun,C,th-d-t,0,1,11,0.716846,0.703947,0.732283,71.7,70.4,73.2
Schatten,shade,8,4,0.50,productive,T2MoonStar,noun,C,th-d-t,0,2,12,0.473118,0.473684,0.472441,47.3,47.4,47.2
Tal,dale,4,2,0.50,productive,T2MoonStar,noun,C,th-d-t,0,5,12,0.444444,0.401316,0.496063,44.4,40.1,49.6
Leiter,ladder,6,4,0.33,productive,T3Dog,noun,C,th-d-t,0,4,10,0.419355,0.407895,0.433071,41.9,40.8,43.3
Granate,grenade,7,2,0.71,productive,T2MoonStar,noun,C,th-d-t,0,7,15,0.377698,0.384106,0.370079,37.8,38.4,37
Gott,god,4,2,0.50,receptive,T3Dog,noun,C,th-d-t,0,1,10,0.734767,0.677632,0.80315,73.5,67.8,80.3
Sattel,saddle,6,4,0.33,receptive,T2MoonStar,noun,C,th-d-t,0,5,14,0.663082,0.565789,0.779528,66.3,56.6,78
Marder,marten,6,2,0.67,receptive,T1Red,noun,C,th-d-t,0,10,16,0.508961,0.473684,0.551181,50.9,47.4,55.1
Leiter,ladder,6,4,0.33,receptive,T1Red,noun,C,th-d-t,0,4,10,0.480287,0.506579,0.448819,48,50.7,44.9
Flut,flood,5,3,0.40,receptive,T3Dog,noun,C,th-d-t,0,2,13,0.365591,0.348684,0.385827,36.6,34.9,38.6
waten,wade,5,2,0.60,receptive,T3Dog,verb,C,th-d-t,0,6,16,0.200717,0.164474,0.244094,20.1,16.4,24.4
Mönch,monk,5,3,0.40,productive,T2MoonStar,noun,C,k-ch,1,5,13,0.630824,0.625,0.637795,63.1,62.5,63.8
Storch,stork,6,2,0.67,productive,T3Dog,noun,C,k-ch,1,11,15,0.573477,0.519737,0.637795,57.3,52,63.8
Bank,bench,5,3,0.40,productive,T1Red,noun,C,k-ch,1,3,9,0.329749,0.315789,0.346457,33,31.6,34.6
Elch,elk,4,2,0.50,receptive,T1Red,noun,C,k-ch,1,10,15,0.842294,0.828947,0.858268,84.2,82.9,85.8
Drache,drake,6,2,0.67,receptive,T2MoonStar,noun,C,k-ch,1,7,15,0.724014,0.671053,0.787402,72.4,67.1,78.7
Arche,ark,5,3,0.40,receptive,T3Dog,noun,C,k-ch,1,7,14,0.401434,0.407895,0.393701,40.1,40.8,39.4
Brief,letter,6,5,0.17,productive,T2MoonStar,noun,FF,n/a,0,1,10,0.648746,0.611842,0.692913,64.9,61.2,69.3
Wand,wall,4,2,0.50,productive,T3Dog,noun,FF,n/a,0,1,11,0.487455,0.453947,0.527559,48.7,45.4,52.8
Gift,poison,6,5,0.17,productive,T1Red,noun,FF,n/a,0,2,13,0.394265,0.407895,0.377953,39.4,40.8,37.8
Rechnung,bill,8,8,0.00,productive,T3Dog,noun,PW,n/a,0,1,11,0.498208,0.493421,0.503937,49.8,49.3,50.4
Laune,mood,5,5,0.00,productive,T1Red,noun,PW,n/a,0,2,13,0.397849,0.388158,0.409449,39.8,38.8,40.9
