Versuchsperson,Geschlecht,Alter,Position,Wort,Übersetzung,Richtig
1034,Frau,51,1,söka,Socken,0
1034,Frau,51,2,försiktig,vorsichtig,1
1034,Frau,51,3,mjölk,Milch,1
1034,Frau,51,4,behärska,,0
1034,Frau,51,5,fiende,finden,0
2384,Frau,27,1,fiende,,0
2384,Frau,27,2,behärska,,0
2384,Frau,27,3,försiktig,vorsichtig,1
2384,Frau,27,4,mjölk,Milch,1
2384,Frau,27,5,söka,Socke,0
8667,Frau,27,1,mjölk,Milch,1
8667,Frau,27,2,behärska,,0
8667,Frau,27,3,fiende,finden,0
8667,Frau,27,4,söka,suchen,1
8667,Frau,27,5,försiktig,vorsichtig,1
5901,Mann,15,1,behärska,beherrschen,1
5901,Mann,15,2,mjölk,milch,1
5901,Mann,15,3,försiktig,vorsichtig,1
5901,Mann,15,4,fiende,feinde,1
5901,Mann,15,5,söka,socken,0
